Field Category/String,Field Title,Admin Roles,Content Roles,End Users,From Mukurtu
block.block.claro_breadcrumbs:settings:labelBreadcrumbs,Breadcrumbs,,,,
block.block.claro_content:settings:labelMain page content,Main page content,,,,
block.block.claro_help:settings:labelHelp,Help,,,,
block.block.claro_local_actions:settings:labelPrimary admin actions,Primary admin actions,,,,
block.block.claro_messages:settings:labelStatus messages,Status messages,,,,
block.block.claro_page_title:settings:labelPage title,Page title,,,,
block.block.claro_primary_local_tasks:settings:labelPrimary tabs,Primary tabs,,,,
block.block.claro_secondary_local_tasks:settings:labelSecondary tabs,Secondary tabs,,,,
block.block.gin_breadcrumbs:settings:labelBreadcrumbs,Breadcrumbs,,,,
block.block.gin_content:settings:labelMain page content,Main page content,x,x,,
block.block.gin_help:settings:labelHelp,Help,x,x,,
block.block.gin_local_actions:settings:labelPrimary admin actions,Primary admin actions,x,,,
block.block.gin_messages:settings:labelStatus messages,Status messages,x,,,
block.block.gin_page_title:settings:labelPage title,Page title,x,x,,
block.block.gin_primary_local_tasks:settings:labelPrimary tabs,Primary tabs,x,,,
block.block.gin_secondary_local_tasks:settings:labelSecondary tabs,Secondary tabs,x,,,
block.block.mukurtu_v4_account_menu:settings:labelUser account menu,User account menu,x,x,x,x
block.block.mukurtu_v4_branding:settings:labelSite branding,Site branding,x,,,x
block.block.mukurtu_v4_breadcrumbs:settings:labelBreadcrumbs,Breadcrumbs,,,,
block.block.mukurtu_v4_content:settings:labelMain page content,Main page content,x,x,,x
block.block.mukurtu_v4_footer:settings:labelFooter menu,Footer menu,x,,,x
block.block.mukurtu_v4_help:settings:labelHelp,Help,x,,,x
block.block.mukurtu_v4_languageswitcher_1:settings:labelLanguage Switcher,Language Switcher,x,x,x,x
block.block.mukurtu_v4_languageswitcher_1:settings:label_display1,1,,,,
block.block.mukurtu_v4_local_actions:settings:labelPrimary admin actions,Primary admin actions,x,,,x
block.block.mukurtu_v4_local_tasks:settings:labelTabs,Tabs,x,x,,x
block.block.mukurtu_v4_main_menu:settings:labelMain navigation,Main navigation,x,x,,x
block.block.mukurtu_v4_messages:settings:labelStatus messages,Status messages,x,,,x
block.block.mukurtu_v4_mukurtu_dashboard_menu:settings:labelMukurtu,Mukurtu,x,x,x,x
block.block.mukurtu_v4_mukurtu_dashboard_menu:settings:label_displayvisible,visible,x,,,x
